,CNation,CCity,Long,Lat,Potential,Wages,Potential_Mean,Wages_Mean,Name,CName,Img_Link,Ability,Age,Foot,Position,Caps_Goals,Length,Weight,Nation
11,England,Liverpool,-2.99168,53.4071991,92.0,234000.0,71.55578093306288,42233.71196754564,Sadio Mané,Liverpool,https://img.fminside.net/facesfm22/85100467.png,89.0,29.0,Right,Striker,75 / 23,175,69,Senegal
12,Germany,Dortmund,7.4652789,51.5142273,95.0,153900.0,68.02046783625731,22653.040935672514,Erling Haaland,Borussia Dortmund,https://img.fminside.net/facesfm22/29179241.png,89.0,20.0,Left,Striker,15 / 12,194,88,Norway
13,England,London,-0.1276474,51.5073219,88.0,409500.0,71.55578093306288,42233.71196754564,Romelu Lukaku,Chelsea,https://img.fminside.net/facesfm22/18007344.png,87.0,28.0,Left,Striker,97 / 64,191,93,Belgium
14,England,London,-0.1276474,51.5073219,86.0,224640.0,71.55578093306288,42233.71196754564,Heung-Min Son,Tottenham,https://img.fminside.net/facesfm22/92020288.png,86.0,28.0,Both,Striker,91 / 27,183,77,South Korea
15,England,Manchester,-2.2451148,53.4794892,87.0,210600.0,71.55578093306288,42233.71196754564,Bruno Fernandes,Man Utd,https://img.fminside.net/facesfm22/43124203.png,86.0,26.0,Right,Midfield,33 / 4,179,69,Portugal
16,Spain,Madrid,-3.7035825,40.4167047,90.0,322030.0,71.26381909547739,29064.057788944723,Luka Modric,Real Madrid,https://img.fminside.net/facesfm22/653054.png,86.0,35.0,Right,Midfield,142 / 18,172,67,Croatia
17,Germany,München,11.5753822,48.1371079,85.0,346280.0,68.02046783625731,22653.040935672514,Thomas Müller,Bayern München,https://img.fminside.net/facesfm22/35011448.png,85.0,31.0,Right,Striker,106 / 39,186,76,Germany
18,England,Manchester,-2.2451148,53.4794892,90.0,210600.0,71.55578093306288,42233.71196754564,Bernardo Silva,Manchester City,https://img.fminside.net/facesfm22/55041632.png,85.0,26.0,Left,Striker,59 / 7,173,64,Portugal
19,France,Paris,2.3200410217200766,48.8588897,87.0,261300.0,68.49810606060606,24544.280303030304,Sergio Ramos,Paris Saint-Germain,https://img.fminside.net/facesfm22/7458272.png,85.0,35.0,Right,Defenders,180 / 23,184,82,Spain
20,Spain,Madrid,-3.7035825,40.4167047,88.0,359720.0,71.26381909547739,29064.057788944723,Toni Kroos,Real Madrid,https://img.fminside.net/facesfm22/156772.png,85.0,31.0,Right,Midfield,106 / 17,183,76,Germany
21,England,Manchester,-2.2451148,53.4794892,89.0,204750.0,71.55578093306288,42233.71196754564,Rúben Dias,Manchester City,https://img.fminside.net/facesfm22/55070299.png,85.0,24.0,Right,Defenders,32 / 2,186,83,Portugal
22,Spain,Barcelona,2.1774322,41.3828939,92.0,184980.0,71.26381909547739,29064.057788944723,Sergio Agüero,FC Barcelona,https://img.fminside.net/facesfm22/957002.png,85.0,33.0,Right,Striker,101 / 41,173,74,Argentina
23,England,Manchester,-2.2451148,53.4794892,88.0,315900.0,71.55578093306288,42233.71196754564,Jack Grealish,Manchester City,https://img.fminside.net/facesfm22/28067800.png,84.0,25.0,Right,Striker,12 / 0,175,82,England
24,Spain,Madrid,-3.7035825,40.4167047,90.0,410300.0,71.26381909547739,29064.057788944723,Antoine Griezmann,Atlético de Madrid,https://img.fminside.net/facesfm22/67086656.png,84.0,30.0,Left,Striker,95 / 38,175,71,France
25,England,Manchester,-2.2451148,53.4794892,88.0,339300.0,71.55578093306288,42233.71196754564,Paul Pogba,Man Utd,https://img.fminside.net/facesfm22/85028014.png,84.0,28.0,Right,Striker,84 / 11,191,84,France
26,England,Manchester,-2.2451148,53.4794892,87.0,152100.0,71.55578093306288,42233.71196754564,Aymeric Laporte,Manchester City,https://img.fminside.net/facesfm22/85085378.png,84.0,27.0,Left,Defenders,7 / 1,191,85,Spain
27,England,Manchester,-2.2451148,53.4794892,90.0,351000.0,71.55578093306288,42233.71196754564,Raheem Sterling,Manchester City,https://img.fminside.net/facesfm22/28054109.png,84.0,26.0,Right,Striker,68 / 17,170,69,England
28,Germany,München,11.5753822,48.1371079,88.0,327040.0,68.02046783625731,22653.040935672514,Leroy Sané,Bayern München,https://img.fminside.net/facesfm22/91138280.png,84.0,25.0,Left,Striker,34 / 7,183,80,Germany
29,Italy,Milan,9.1896346,45.4641943,88.0,88970.0,69.73652694610779,26731.221556886227,Lautaro Martínez,Inter,https://img.fminside.net/facesfm22/14110660.png,84.0,23.0,Right,Striker,29 / 14,174,79,Argentina
30,Spain,Madrid,-3.7035825,40.4167047,85.0,215830.0,71.26381909547739,29064.057788944723,Casemiro,Real Madrid,https://img.fminside.net/facesfm22/19061518.png,84.0,29.0,Right,Midfield,56 / 4,185,84,Brazil
31,Spain,Madrid,-3.7035825,40.4167047,93.0,445360.0,71.26381909547739,29064.057788944723,Eden Hazard,Real Madrid,https://img.fminside.net/facesfm22/18004418.png,83.0,30.0,Right,Striker,110 / 32,173,76,Belgium
32,Italy,Turin,7.6824892,45.0677551,89.0,259800.0,69.73652694610779,26731.221556886227,Paulo Dybala,Juventus,https://img.fminside.net/facesfm22/14044150.png,83.0,27.0,Left,Striker,29 / 2,177,79,Argentina
33,Spain,Madrid,-3.7035825,40.4167047,94.0,307600.0,71.26381909547739,29064.057788944723,Luis Suárez,Atlético de Madrid,https://img.fminside.net/facesfm22/78000335.png,83.0,34.0,Right,Striker,123 / 64,182,86,Uruguay
34,England,Manchester,-2.2451148,53.4794892,86.0,321750.0,71.55578093306288,42233.71196754564,Raphaël Varane,Man Utd,https://img.fminside.net/facesfm22/85075627.png,83.0,28.0,Right,Defenders,79 / 5,191,81,France
35,England,London,-0.1276474,51.5073219,83.0,339300.0,71.55578093306288,42233.71196754564,N'Golo Kanté,Chelsea,https://img.fminside.net/facesfm22/85081880.png,83.0,30.0,Right,Midfield,50 / 2,168,72,France
36,Germany,München,11.5753822,48.1371079,85.0,230850.0,68.02046783625731,22653.040935672514,Leon Goretzka,Bayern München,https://img.fminside.net/facesfm22/91104807.png,83.0,26.0,Right,Midfield,35 / 14,189,82,Germany
37,Spain,Madrid,-3.7035825,40.4167047,87.0,419730.0,71.26381909547739,29064.057788944723,David Alaba,Real Madrid,https://img.fminside.net/facesfm22/16010162.png,82.0,28.0,Left,Midfield,85 / 14,180,78,Austria
38,Italy,Rome,12.4829321,41.8933203,83.0,142360.0,69.73652694610779,26731.221556886227,Ciro Immobile,Lazio,https://img.fminside.net/facesfm22/43010773.png,82.0,31.0,Right,Striker,46 / 13,185,85,Italy
39,Spain,Barcelona,2.1774322,41.3828939,92.0,192370.0,71.26381909547739,29064.057788944723,Frenkie de Jong,FC Barcelona,https://img.fminside.net/facesfm22/37047745.png,82.0,24.0,Right,Midfield,31 / 1,181,69,Netherlands
40,England,Liverpool,-2.99168,53.4071991,87.0,263250.0,71.55578093306288,42233.71196754564,Thiago,Liverpool,https://img.fminside.net/facesfm22/67022040.png,82.0,30.0,Right,Midfield,46 / 2,174,70,Spain
41,Italy,Rome,12.4829321,41.8933203,85.0,113890.0,69.73652694610779,26731.221556886227,Sergej Milinkovic-..,Lazio,https://img.fminside.net/facesfm22/62127037.png,82.0,26.0,Right,Midfield,22 / 3,191,82,Serbia
42,France,Paris,2.3200410217200766,48.8588897,87.0,161150.0,68.49810606060606,24544.280303030304,Ángel Di María,Paris Saint-Germain,https://img.fminside.net/facesfm22/14000219.png,82.0,33.0,Left,Striker,111 / 21,180,75,Argentina
43,England,Manchester,-2.2451148,53.4794892,83.0,234000.0,71.55578093306288,42233.71196754564,Fernandinho,Manchester City,https://img.fminside.net/facesfm22/8825061.png,82.0,36.0,Right,Midfield,53 / 2,179,67,Brazil
44,England,Liverpool,-2.99168,53.4071991,84.0,210600.0,71.55578093306288,42233.71196754564,Fabinho,Liverpool,https://img.fminside.net/facesfm22/19183676.png,82.0,27.0,Right,Midfield,17 / 0,188,78,Brazil
45,Spain,Madrid,-3.7035825,40.4167047,82.0,165060.0,71.26381909547739,29064.057788944723,Yannick Carrasco,Atlético de Madrid,https://img.fminside.net/facesfm22/18027198.png,82.0,27.0,Right,Striker,49 / 6,180,71,Belgium
46,Germany,München,11.5753822,48.1371079,85.0,134660.0,68.02046783625731,22653.040935672514,Serge Gnabry,Bayern München,https://img.fminside.net/facesfm22/28066083.png,82.0,25.0,Right,Striker,26 / 16,176,77,Germany
47,Italy,Milan,9.1896346,45.4641943,87.0,88970.0,69.73652694610779,26731.221556886227,Nicolò Barella,Inter,https://img.fminside.net/facesfm22/43139595.png,82.0,24.0,Right,Midfield,12 / 3,172,68,Italy
48,Spain,Madrid,-3.7035825,40.4167047,83.0,306750.0,71.26381909547739,29064.057788944723,Koke,Atlético de Madrid,https://img.fminside.net/facesfm22/67047092.png,82.0,29.0,Right,Midfield,56 / 0,178,73,Spain
49,England,Manchester,-2.2451148,53.4794892,89.0,292500.0,71.55578093306288,42233.71196754564,Jadon Sancho,Man Utd,https://img.fminside.net/facesfm22/28108490.png,81.0,21.0,Right,Striker,22 / 3,180,76,England
50,Italy,Milan,9.1896346,45.4641943,83.0,135240.0,69.73652694610779,26731.221556886227,Stefan de Vrij,Inter,https://img.fminside.net/facesfm22/37001814.png,81.0,29.0,Right,Defenders,49 / 3,189,78,Netherlands
51,Italy,Milan,9.1896346,45.4641943,85.0,106770.0,69.73652694610779,26731.221556886227,Milan Skriniar,Inter,https://img.fminside.net/facesfm22/63013145.png,81.0,26.0,Right,Defenders,43 / 3,188,82,Slovakia
52,England,Liverpool,-2.99168,53.4071991,88.0,210600.0,71.55578093306288,42233.71196754564,Roberto Firmino,Liverpool,https://img.fminside.net/facesfm22/19068857.png,81.0,29.0,Right,Striker,55 / 17,181,76,Brazil
53,France,Paris,2.3200410217200766,48.8588897,83.0,276260.0,68.49810606060606,24544.280303030304,Marquinhos,Paris Saint-Germain,https://img.fminside.net/facesfm22/19163495.png,81.0,27.0,Right,Midfield,59 / 3,183,75,Brazil
54,Italy,Turin,7.6824892,45.0677551,82.0,177950.0,69.73652694610779,26731.221556886227,Juan Cuadrado,Juventus,https://img.fminside.net/facesfm22/76010707.png,81.0,33.0,Right,Striker,101 / 9,179,72,Colombia
55,England,Manchester,-2.2451148,53.4794892,84.0,193050.0,71.55578093306288,42233.71196754564,Ilkay Gündogan,Manchester City,https://img.fminside.net/facesfm22/91003875.png,81.0,30.0,Right,Midfield,49 / 11,180,80,Germany
56,Italy,Naples,14.2487679,40.8358846,83.0,163710.0,69.73652694610779,26731.221556886227,Lorenzo Insigne,Napoli,https://img.fminside.net/facesfm22/43043933.png,81.0,30.0,Right,Striker,47 / 10,163,59,Italy
57,Italy,Turin,7.6824892,45.0677551,88.0,60500.0,69.73652694610779,26731.221556886227,Federico Chiesa,Juventus,https://img.fminside.net/facesfm22/43161651.png,81.0,23.0,Right,Striker,31 / 3,175,70,Italy
58,Spain,Madrid,-3.7035825,40.4167047,82.0,99650.0,71.26381909547739,29064.057788944723,Marcos Llorente,Atlético de Madrid,https://img.fminside.net/facesfm22/67196198.png,81.0,26.0,Right,Striker,9 / 0,184,73,Spain
59,France,Paris,2.3200410217200766,48.8588897,87.0,199140.0,68.49810606060606,24544.280303030304,Achraf Hakimi,Paris Saint-Germain,https://img.fminside.net/facesfm22/67228634.png,80.0,22.0,Right,Midfield,35 / 4,181,73,Morocco
60,Italy,Naples,14.2487679,40.8358846,85.0,213540.0,69.73652694610779,26731.221556886227,Kalidou Koulibaly,Napoli,https://img.fminside.net/facesfm22/85051083.png,80.0,29.0,Right,Defenders,46 / 0,187,89,Senegal
61,Germany,München,11.5753822,48.1371079,89.0,96190.0,68.02046783625731,22653.040935672514,Alphonso Davies,Bayern München,https://img.fminside.net/facesfm22/20041862.png,80.0,20.0,Left,Striker,23 / 9,183,75,Canada
62,Italy,Milan,9.1896346,45.4641943,81.0,124560.0,69.73652694610779,26731.221556886227,Marcelo Brozovic,Inter,https://img.fminside.net/facesfm22/24016529.png,80.0,28.0,Right,Midfield,63 / 6,181,68,Croatia
63,England,London,-0.1276474,51.5073219,84.0,90090.0,71.55578093306288,42233.71196754564,Mason Mount,Chelsea,https://img.fminside.net/facesfm22/28103590.png,80.0,22.0,Right,Striker,21 / 4,178,70,England
64,Germany,Dortmund,7.4652789,51.5142273,89.0,191850.0,68.02046783625731,22653.040935672514,Mats Hummels,Borussia Dortmund,https://img.fminside.net/facesfm22/35007944.png,80.0,32.0,Right,Defenders,76 / 5,191,94,Germany
65,Italy,Turin,7.6824892,45.0677551,87.0,231330.0,69.73652694610779,26731.221556886227,Leonardo Bonucci,Juventus,https://img.fminside.net/facesfm22/1410956.png,80.0,34.0,Right,Defenders,109 / 8,190,85,Italy
66,Italy,Rome,12.4829321,41.8933203,82.0,88970.0,69.73652694610779,26731.221556886227,Luis Alberto,Lazio,https://img.fminside.net/facesfm22/67131771.png,80.0,28.0,Right,Midfield,1 / 0,183,74,Spain
67,Netherlands,Amsterdam,4.8936041,52.3727598,80.0,67150.0,67.90942028985508,7040.579710144928,Dušan Tadic,Ajax,https://img.fminside.net/facesfm22/5788648.png,80.0,32.0,Left,Striker,76 / 16,181,76,Serbia
68,Spain,Madrid,-3.7035825,40.4167047,84.0,76950.0,71.26381909547739,29064.057788944723,Federico Valverde,Real Madrid,https://img.fminside.net/facesfm22/78074594.png,80.0,22.0,Right,Midfield,29 / 2,181,74,Uruguay
69,Turkey,İstanbul,28.9662187,41.0091982,85.0,125040.0,66.57402597402597,15953.35064935065,Miralem Pjanic,Beşiktaş,https://img.fminside.net/facesfm22/8438112.png,80.0,31.0,Right,Midfield,100 / 16,178,72,Bosnia and Herzegovina
70,England,Liverpool,-2.99168,53.4071991,80.0,222300.0,71.55578093306288,42233.71196754564,Jordan Henderson,Liverpool,https://img.fminside.net/facesfm22/28005568.png,80.0,30.0,Right,Midfield,64 / 1,183,80,England
71,England,Manchester,-2.2451148,53.4794892,87.0,234000.0,71.55578093306288,42233.71196754564,Marcus Rashford,Man Utd,https://img.fminside.net/facesfm22/28100266.png,80.0,23.0,Right,Striker,46 / 12,185,70,England
72,England,Liverpool,-2.99168,53.4071991,87.0,187200.0,71.55578093306288,42233.71196754564,Trent Alexander-Ar..,Liverpool,https://img.fminside.net/facesfm22/28104124.png,80.0,22.0,Right,Midfield,13 / 1,180,70,England
73,Italy,Milan,9.1896346,45.4641943,88.0,43860.0,69.73652694610779,26731.221556886227,Theo Hernández,Milan,https://img.fminside.net/facesfm22/67211695.png,80.0,23.0,Left,Midfield,0 / 0,184,81,France
74,Spain,Barcelona,2.1774322,41.3828939,86.0,335930.0,71.26381909547739,29064.057788944723,Ousmane Dembélé,FC Barcelona,https://img.fminside.net/facesfm22/85140178.png,80.0,24.0,Both,Striker,27 / 4,178,67,France
75,England,London,-0.1276474,51.5073219,90.0,175500.0,71.55578093306288,42233.71196754564,Kai Havertz,Chelsea,https://img.fminside.net/facesfm22/91151081.png,80.0,22.0,Left,Striker,18 / 5,186,77,Germany
76,England,London,-0.1276474,51.5073219,82.0,117000.0,71.55578093306288,42233.71196754564,Antonio Rüdiger,Chelsea,https://img.fminside.net/facesfm22/92023410.png,80.0,28.0,Right,Defenders,45 / 1,190,85,Germany
77,France,Paris,2.3200410217200766,48.8588897,82.0,276260.0,68.49810606060606,24544.280303030304,Marco Verratti,Paris Saint-Germain,https://img.fminside.net/facesfm22/43026579.png,80.0,28.0,Right,Midfield,45 / 3,165,60,Italy
78,Italy,Turin,7.6824892,45.0677551,93.0,233930.0,69.73652694610779,26731.221556886227,Matthijs de Ligt,Juventus,https://img.fminside.net/facesfm22/37055843.png,80.0,21.0,Right,Defenders,30 / 2,189,89,Netherlands
79,Spain,Madrid,-3.7035825,40.4167047,89.0,180350.0,71.26381909547739,29064.057788944723,João Félix,Atlético de Madrid,https://img.fminside.net/facesfm22/83169822.png,80.0,21.0,Right,Striker,18 / 3,178,74,Portugal
80,England,Liverpool,-2.99168,53.4071991,83.0,187200.0,71.55578093306288,42233.71196754564,Andrew Robertson,Liverpool,https://img.fminside.net/facesfm22/61043456.png,80.0,27.0,Left,Defenders,48 / 3,178,64,Scotland
81,Spain,Valencia,-0.3763353,39.4697065,80.0,67300.0,71.26381909547739,29064.057788944723,José Gayà,Valencia,https://img.fminside.net/facesfm22/67178177.png,80.0,26.0,Left,Striker,15 / 2,172,66,Spain
82,Italy,Milan,9.1896346,45.4641943,93.0,204690.0,69.73652694610779,26731.221556886227,Zlatan Ibrahimovic,Milan,https://img.fminside.net/facesfm22/142173.png,80.0,39.0,Right,Striker,118 / 62,195,95,Sweden
83,Portugal,Porto,-8.6107884,41.1494512,84.0,29760.0,66.94324324324324,6634.8378378378375,Luis Díaz,FC Porto,https://img.fminside.net/facesfm22/76049803.png,80.0,24.0,Right,Striker,23 / 6,180,70,Colombia
84,Spain,Madrid,-3.7035825,40.4167047,83.0,96190.0,71.26381909547739,29064.057788944723,José Giménez,Atlético de Madrid,https://img.fminside.net/facesfm22/78060464.png,80.0,26.0,Right,Defenders,67 / 8,185,77,Uruguay
85,England,Manchester,-2.2451148,53.4794892,82.0,210600.0,71.55578093306288,42233.71196754564,Riyad Mahrez,Manchester City,https://img.fminside.net/facesfm22/85078058.png,79.0,30.0,Left,Striker,64 / 21,179,67,Algeria
86,Italy,Milan,9.1896346,45.4641943,86.0,78300.0,69.73652694610779,26731.221556886227,Franck Kessié,Milan,https://img.fminside.net/facesfm22/13136664.png,79.0,24.0,Right,Midfield,40 / 1,183,89,Ivory Coast
87,England,Leicester,-1.1330789,52.6361398,85.0,140400.0,71.55578093306288,42233.71196754564,Youri Tielemans,Leicester,https://img.fminside.net/facesfm22/18077264.png,79.0,24.0,Right,Midfield,43 / 4,176,72,Belgium
88,England,Birmingham,-1.9026911,52.4796992,80.0,117000.0,71.55578093306288,42233.71196754564,Danny Ings,Aston Villa,https://img.fminside.net/facesfm22/29030379.png,79.0,28.0,Right,Striker,3 / 1,178,74,England
89,Italy,Turin,7.6824892,45.0677551,87.0,106770.0,69.73652694610779,26731.221556886227,Giorgio Chiellini,Juventus,https://img.fminside.net/facesfm22/831079.png,79.0,36.0,Left,Defenders,112 / 8,187,85,Italy
90,Italy,Rome,12.4829321,41.8933203,84.0,142360.0,69.73652694610779,26731.221556886227,Lorenzo Pellegrini,Roma,https://img.fminside.net/facesfm22/43094100.png,79.0,24.0,Right,Midfield,17 / 2,186,77,Italy
91,Italy,Bergamo,9.754219200862249,45.756655699999996,81.0,64060.0,69.73652694610779,26731.221556886227,Duván Zapata,Atalanta,https://img.fminside.net/facesfm22/76014012.png,79.0,30.0,Right,Striker,29 / 4,189,88,Colombia
92,Spain,San Sebastián,-1.9838889,43.3224219,84.0,43140.0,71.26381909547739,29064.057788944723,Mikel Oyarzábal,Real Sociedad,https://img.fminside.net/facesfm22/67220143.png,79.0,24.0,Left,Striker,19 / 5,180,77,Spain
93,England,Manchester,-2.2451148,53.4794892,83.0,175500.0,71.55578093306288,42233.71196754564,João Cancelo,Manchester City,https://img.fminside.net/facesfm22/55041623.png,79.0,27.0,Right,Midfield,27 / 5,182,74,Portugal
94,Italy,Naples,14.2487679,40.8358846,81.0,124560.0,69.73652694610779,26731.221556886227,Piotr Zielinski,Napoli,https://img.fminside.net/facesfm22/43093171.png,79.0,27.0,Right,Midfield,63 / 7,180,69,Poland
95,Spain,Barcelona,2.1774322,41.3828939,81.0,184980.0,71.26381909547739,29064.057788944723,Memphis Depay,FC Barcelona,https://img.fminside.net/facesfm22/37024470.png,79.0,27.0,Right,Striker,68 / 28,176,78,Netherlands
96,England,Manchester,-2.2451148,53.4794892,88.0,117000.0,71.55578093306288,42233.71196754564,Gabriel Jesus,Manchester City,https://img.fminside.net/facesfm22/19220266.png,79.0,24.0,Right,Striker,47 / 18,175,73,Brazil
97,Germany,Dortmund,7.4652789,51.5142273,90.0,191850.0,68.02046783625731,22653.040935672514,Marco Reus,Borussia Dortmund,https://img.fminside.net/facesfm22/91013383.png,79.0,32.0,Right,Striker,44 / 13,180,71,Germany
98,England,Leicester,-1.1330789,52.6361398,82.0,187200.0,71.55578093306288,42233.71196754564,Jamie Vardy,Leicester,https://img.fminside.net/facesfm22/90008752.png,79.0,34.0,Right,Striker,26 / 7,179,72,England
99,England,Manchester,-2.2451148,53.4794892,83.0,152100.0,71.55578093306288,42233.71196754564,Rodri,Manchester City,https://img.fminside.net/facesfm22/67217524.png,79.0,24.0,Right,Midfield,25 / 1,191,75,Spain
100,Italy,Naples,14.2487679,40.8358846,82.0,53380.0,69.73652694610779,26731.221556886227,Fabián,Napoli,https://img.fminside.net/facesfm22/67216396.png,79.0,25.0,Left,Midfield,15 / 1,189,73,Spain
101,Spain,Madrid,-3.7035825,40.4167047,79.0,154160.0,71.26381909547739,29064.057788944723,Nacho,Real Madrid,https://img.fminside.net/facesfm22/67030696.png,79.0,31.0,Right,Defenders,22 / 1,180,77,Spain
102,Spain,San Sebastián,-1.9838889,43.3224219,90.0,100030.0,71.26381909547739,29064.057788944723,David Silva,Real Sociedad,https://img.fminside.net/facesfm22/7458280.png,79.0,35.0,Left,Striker,125 / 35,173,67,Spain
103,Spain,Barcelona,2.1774322,41.3828939,87.0,120040.0,71.26381909547739,29064.057788944723,Gerard Piqué,FC Barcelona,https://img.fminside.net/facesfm22/5124470.png,79.0,34.0,Right,Defenders,102 / 5,194,85,Spain
104,Spain,Barcelona,2.1774322,41.3828939,86.0,230850.0,71.26381909547739,29064.057788944723,Sergio Busquets,FC Barcelona,https://img.fminside.net/facesfm22/1510566.png,79.0,32.0,Right,Midfield,127 / 2,189,76,Spain
105,England,Manchester,-2.2451148,53.4794892,79.0,222300.0,71.55578093306288,42233.71196754564,Harry Maguire,Man Utd,https://img.fminside.net/facesfm22/28049740.png,79.0,28.0,Right,Defenders,37 / 4,194,10,England
106,Spain,Sevilla,-5.9953403,37.3886303,81.0,71180.0,71.26381909547739,29064.057788944723,Alejandro Gómez,Sevilla,https://img.fminside.net/facesfm22/955978.png,79.0,33.0,Right,Striker,7 / 3,167,68,Argentina
107,Spain,Madrid,-3.7035825,40.4167047,86.0,215830.0,71.26381909547739,29064.057788944723,Vinícius Júnior,Real Madrid,https://img.fminside.net/facesfm22/19302146.png,78.0,20.0,Right,Striker,5 / 0,177,62,Brazil
108,Spain,Barcelona,2.1774322,41.3828939,86.0,444600.0,71.26381909547739,29064.057788944723,Coutinho,FC Barcelona,https://img.fminside.net/facesfm22/19046041.png,78.0,29.0,Right,Striker,63 / 18,172,71,Brazil
109,Italy,Naples,14.2487679,40.8358846,86.0,131580.0,69.73652694610779,26731.221556886227,Victor Osimhen,Napoli,https://img.fminside.net/facesfm22/13158205.png,78.0,22.0,Right,Striker,12 / 6,185,78,Nigeria
110,England,Liverpool,-2.99168,53.4071991,78.0,163800.0,71.55578093306288,42233.71196754564,Joël Matip,Liverpool,https://img.fminside.net/facesfm22/91018389.png,78.0,29.0,Right,Defenders,27 / 1,195,90,Cameroon
111,France,Paris,2.3200410217200766,48.8588897,82.0,191850.0,68.49810606060606,24544.280303030304,Presnel Kimpembe,Paris Saint-Germain,https://img.fminside.net/facesfm22/85141999.png,78.0,25.0,Left,Defenders,21 / 0,183,77,France
112,Germany,München,11.5753822,48.1371079,83.0,153900.0,68.02046783625731,22653.040935672514,Kingsley Coman,Bayern München,https://img.fminside.net/facesfm22/85104424.png,78.0,25.0,Right,Striker,32 / 5,179,76,France
113,England,London,-0.1276474,51.5073219,81.0,117000.0,71.55578093306288,42233.71196754564,Kurt Zouma,West Ham,https://img.fminside.net/facesfm22/85075595.png,78.0,26.0,Right,Defenders,8 / 1,190,96,France
114,England,London,-0.1276474,51.5073219,87.0,115040.0,71.55578093306288,42233.71196754564,Thiago Silva,Chelsea,https://img.fminside.net/facesfm22/8833628.png,78.0,36.0,Right,Defenders,98 / 7,183,79,Brazil
115,Spain,Villarreal,-0.1004465,39.9372616,84.0,74440.0,71.26381909547739,29064.057788944723,Pau Torres,Villarreal,https://img.fminside.net/facesfm22/67217522.png,78.0,24.0,Left,Defenders,14 / 1,191,80,Spain
116,Spain,Barcelona,2.1774322,41.3828939,83.0,215460.0,71.26381909547739,29064.057788944723,Jordi Alba,FC Barcelona,https://img.fminside.net/facesfm22/67052513.png,78.0,32.0,Left,Midfield,78 / 8,170,68,Spain
117,Italy,Rome,12.4829321,41.8933203,83.0,102340.0,69.73652694610779,26731.221556886227,Henrikh Mkhitaryan,Roma,https://img.fminside.net/facesfm22/59006269.png,78.0,32.0,Right,Striker,88 / 30,177,75,Armenia
118,Spain,Valencia,-0.3763353,39.4697065,81.0,117200.0,71.26381909547739,29064.057788944723,Gonçalo Guedes,Valencia,https://img.fminside.net/facesfm22/55041710.png,78.0,24.0,Right,Striker,23 / 6,179,68,Portugal
119,Italy,Milan,9.1896346,45.4641943,87.0,142360.0,69.73652694610779,26731.221556886227,Alessandro Bastoni,Inter,https://img.fminside.net/facesfm22/43252460.png,78.0,22.0,Left,Defenders,6 / 0,190,75,Italy
