CName,CLink,CCity,CFounded,CNation,CLeague,CReputation,CStatus,CBalance,CTransfer_Budget,CTotal_Wages,CRemaining_Wages,CTraining_Facilities,CYouth_Facilities,CYouth_Recruitment,CJunior_Coaching,CBest_XI,CMost_Talented_XI
Roma,https://fminside.net/clubs/1-fm-21/1100-roma,Rome,1927,Italy,Serie A,80,Professional,€ 35M,€ 17M,€ 2M pw,€ 196K pw,90,95,90,75,77,78
Flamengo,https://fminside.net/clubs/1-fm-21/322-flamengo,Rio de Janeiro (RJ),1895,Brazil,Brazilian Série A,79,Professional,€ 10M,€ 5M,€ 498K pw,€ 49K pw,90,70,90,70,73,73
Lazio,https://fminside.net/clubs/1-fm-21/1140-lazio,Rome,1900,Italy,Serie A,79,Professional,€ 30M,€ 17M,€ 2M pw,€ 85K pw,90,75,75,70,80,76
Lyon,https://fminside.net/clubs/1-fm-21/865-lyon,Lyon,1950,France,Ligue 1,78,Professional,€ 93M,€ 15M,€ 1M pw,€ 98K pw,85,90,85,80,74,77
Ajax,https://fminside.net/clubs/1-fm-21/992-ajax,Amsterdam,1900,Netherlands,Eredivisie,78,Professional,€ 125M,€ 50M,€ 466K pw,€ 22K pw,90,85,95,90,76,80
Athletic Club,https://fminside.net/clubs/1-fm-21/1664-athletic-club,Bilbao,1898,Spain,LaLiga,77,Professional,€ 32M,€ 25M,€ 1M pw,€ 99K pw,90,90,80,85,77,76
Bayer 04 Leverkusen,https://fminside.net/clubs/1-fm-21/901-bayer-04-leverkusen,Leverkusen,1904,Germany,Bundesliga,77,Professional,€ 6M,0,€ 2M pw,€ 85K pw,85,80,85,70,75,77
Palmeiras,https://fminside.net/clubs/1-fm-21/329-palmeiras,São Paulo (SP),1914,Brazil,Brazilian Série A,76,Professional,€ 8M,€ 5M,€ 388K pw,€ 40K pw,90,75,80,75,70,70
Borussia Mönchengladbach,https://fminside.net/clubs/1-fm-21/908-borussia-monchengladbach,Mönchengladbach,1900,Germany,Bundesliga,76,Professional,€ 53M,€ 10M,€ 2M pw,€ 146K pw,75,75,70,60,73,75
Zenit,https://fminside.net/clubs/1-fm-21/1301108-zenit,St. Petersburg,1925,Russia,Russian Premier League,76,,€ 101M,€ 10M,€ 883K pw,€ 57K pw,55,85,50,45,73,66
Marseille,https://fminside.net/clubs/1-fm-21/866-marseille,Marseille,1899,France,Ligue 1,75,Professional,€ 50M,€ 8M,€ 936K pw,€ 44K pw,80,80,60,65,74,72
VfL Wolfsburg,https://fminside.net/clubs/1-fm-21/961-vfl-wolfsburg,Wolfsburg,1945,Germany,Bundesliga,75,Professional,€ 67M,€ 10M,€ 1M pw,€ 121K pw,75,80,70,65,72,71
Villarreal,https://fminside.net/clubs/1-fm-21/1777-villarreal,Villarreal,1923,Spain,LaLiga,75,Professional,€ 25M,€ 15M,€ 910K pw,€ 53K pw,85,85,90,85,76,74
Shakhtar,https://fminside.net/clubs/1-fm-21/1895-shakhtar,Donetsk,1936,Ukraine,FavBet Liha,75,Professional,€ 43M,€ 8M,€ 375K pw,€ 18K pw,90,90,75,75,73,74
Corinthians,https://fminside.net/clubs/1-fm-21/319-corinthians,São Paulo (SP),1910,Brazil,Brazilian Série A,75,Professional,€ 235K,€ 758K,€ 306K pw,€ 14K pw,90,60,80,60,70,71
AS Monaco,https://fminside.net/clubs/1-fm-21/826-as-monaco,Monaco,1924,France,Ligue 1,75,Professional,€ 146M,€ 15M,€ 1M pw,€ 66K pw,80,80,75,75,72,77
Schalke 04,https://fminside.net/clubs/1-fm-21/920-schalke-04,Gelsenkirchen,1904,Germany,Bundesliga,75,Professional,€ 91M,€ 9M,€ 1M pw,€ 137K pw,80,80,75,70,68,72
Grêmio,https://fminside.net/clubs/1-fm-21/324-gremio,Porto Alegre (RS),1903,Brazil,Brazilian Série A,75,Professional,€ 4M,€ 4M,€ 273K pw,€ 34K pw,80,65,90,65,71,72
Atalanta,https://fminside.net/clubs/1-fm-21/1106-atalanta,Bergamo,1907,Italy,Serie A,74,Professional,€ 25M,€ 17M,€ 973K pw,€ 41K pw,85,90,100,90,78,76
Real Sociedad,https://fminside.net/clubs/1-fm-21/1742-real-sociedad,San Sebastián,1909,Spain,LaLiga,74,Professional,€ 52M,€ 13M,€ 916K pw,€ 85K pw,90,90,75,75,78,79
Santos,https://fminside.net/clubs/1-fm-21/335-santos,Santos (SP),1912,Brazil,Brazilian Série A,74,Professional,€ 4M,€ 303K,€ 196K pw,€ 16K pw,80,65,100,70,70,75
RB Leipzig,https://fminside.net/clubs/1-fm-21/91013388-rb-leipzig,Leipzig,2009,Germany,Bundesliga,74,,€ 59M,€ 20M,€ 1M pw,€ 161K pw,80,95,80,70,75,79
Internacional,https://fminside.net/clubs/1-fm-21/326-internacional,Porto Alegre (RS),1909,Brazil,Brazilian Série A,74,Professional,€ 4M,€ 2M,€ 367K pw,€ 27K pw,80,55,90,60,70,69
São Paulo,https://fminside.net/clubs/1-fm-21/337-sao-paulo,São Paulo (SP),1930,Brazil,Brazilian Série A,74,Professional,€ 4M,€ 2M,€ 271K pw,€ 13K pw,85,65,100,70,69,72
Leicester,https://fminside.net/clubs/1-fm-21/673-leicester,Leicester,1884,England,Premier League,73,Professional,€ 37M,€ 1M,€ 2M pw,€ 185K pw,70,80,60,60,78,80
Lille OSC,https://fminside.net/clubs/1-fm-21/858-lille-osc,Lille,1944,France,Ligue 1,73,Professional,€ 25M,€ 15M,€ 642K pw,€ 30K pw,80,80,65,55,71,76
TSG 1899 Hoffenheim,https://fminside.net/clubs/1-fm-21/879226-tsg-1899-hoffenheim,Hoffenheim,1899,Germany,Bundesliga,73,Professional,€ 100M,€ 9M,€ 1M pw,€ 104K pw,90,90,80,65,72,74
Fiorentina,https://fminside.net/clubs/1-fm-21/1129-fiorentina,Florence,1926,Italy,Serie A,73,Professional,€ 23M,€ 12M,€ 1M pw,€ 93K pw,70,75,75,75,74,77
Eintracht Frankfurt,https://fminside.net/clubs/1-fm-21/912-eintracht-frankfurt,Frankfurt/Main,1899,Germany,Bundesliga,73,Professional,€ 85M,€ 8M,€ 892K pw,€ 115K pw,75,75,70,60,70,69
Hertha BSC,https://fminside.net/clubs/1-fm-21/2247-hertha-bsc,Berlin,1892,Germany,Bundesliga,73,Professional,€ 71M,€ 25M,€ 1M pw,€ 139K pw,85,75,80,65,70,74
PSV Eindhoven,https://fminside.net/clubs/1-fm-21/1028-psv-eindhoven,Eindhoven,1913,Netherlands,Eredivisie,73,Professional,€ 76M,€ 15M,€ 356K pw,€ 17K pw,90,90,85,85,72,76
CSKA Moscow,https://fminside.net/clubs/1-fm-21/1518-cska-moscow,Moscow,1911,Russia,Russian Premier League,73,Professional,€ 41M,€ 5M,€ 503K pw,€ 62K pw,70,60,70,55,69,69
Club América,https://fminside.net/clubs/1-fm-21/1253-club-america,Mexico City,1916,Mexico,Liga MX,73,Professional,€ 18M,€ 8M,€ 358K pw,€ 17K pw,80,75,90,70,69,70
River Plate,https://fminside.net/clubs/1-fm-21/94-river-plate,Ciudad de Buenos Aires,1901,Argentina,Superliga Argentina,73,Professional,€ 4M,€ 2M,€ 224K pw,€ 11K pw,85,80,100,75,71,70
Boca Juniors,https://fminside.net/clubs/1-fm-21/82-boca-juniors,Ciudad de Buenos Aires,1905,Argentina,Superliga Argentina,73,Professional,€ 5M,€ 7M,€ 250K pw,€ 12K pw,85,75,95,75,70,70
Lokomotiv Moscow,https://fminside.net/clubs/1-fm-21/1525-lokomotiv-moscow,Moscow,1923,Russia,Russian Premier League,72,Professional,€ 48M,€ 2M,€ 619K pw,€ 46K pw,60,60,60,50,67,65
VfB Stuttgart,https://fminside.net/clubs/1-fm-21/960-vfb-stuttgart,Stuttgart,1893,Germany,Bundesliga,72,Professional,€ 83M,€ 6M,€ 454K pw,€ 60K pw,80,75,80,70,68,73
Galatasaray SK,https://fminside.net/clubs/1-fm-21/1871-galatasaray-sk,İstanbul,1905,Turkey,Turkish SüperLig,72,Professional,€ 44M,€ 2M,€ 913K pw,€ 43K pw,40,40,40,60,70,72
Dynamo Kyiv,https://fminside.net/clubs/1-fm-21/1885-dynamo-kyiv,Kyiv,1927,Ukraine,FavBet Liha,72,Professional,€ 13M,€ 8M,€ 249K pw,€ 12K pw,90,90,70,60,68,74
Deportivo Guadalajara,https://fminside.net/clubs/1-fm-21/1255-deportivo-guadalajara,Guadalajara,1906,Mexico,Liga MX,72,Professional,€ 13M,€ 10M,€ 281K pw,€ 13K pw,80,75,100,70,65,70
1. FC Köln,https://fminside.net/clubs/1-fm-21/916-1-fc-koln,Köln,1948,Germany,Bundesliga,71,Professional,€ 23M,€ 500K,€ 804K pw,€ 60K pw,75,75,75,60,70,73
1.FSV Mainz 05,https://fminside.net/clubs/1-fm-21/918-1fsv-mainz-05,Mainz,1905,Germany,Bundesliga,71,Professional,€ 31M,€ 2M,€ 470K pw,€ 39K pw,80,75,65,60,69,72
Atlético Mineiro,https://fminside.net/clubs/1-fm-21/314-atletico-mineiro,Belo Horizonte (MG),1908,Brazil,Brazilian Série A,71,Professional,€ 6M,€ 3M,€ 316K pw,€ 37K pw,90,75,75,55,70,71
Athletico Paranaense,https://fminside.net/clubs/1-fm-21/107206-athletico-paranaense,Curitiba (PR),1924,Brazil,Brazilian Série A,71,Professional,€ 5M,€ 2M,€ 209K pw,€ 17K pw,90,60,60,50,67,70
Stade Rennais,https://fminside.net/clubs/1-fm-21/884-stade-rennais,Rennes,1901,France,Ligue 1,71,Professional,€ 51M,€ 15M,€ 745K pw,€ 35K pw,80,85,90,85,71,74
Beşiktaş,https://fminside.net/clubs/1-fm-21/1866-beikta,İstanbul,1903,Turkey,Turkish SüperLig,71,Professional,€ 26M,€ 2M,€ 683K pw,€ 32K pw,75,40,30,60,67,71
Krasnodar,https://fminside.net/clubs/1-fm-21/58029064-krasnodar,Krasnodar,2007,Russia,Russian Premier League,71,,€ 36M,€ 10M,€ 713K pw,€ 84K pw,85,100,50,60,70,69
Cruz Azul,https://fminside.net/clubs/1-fm-21/1254-cruz-azul,Mexico City,1927,Mexico,Liga MX,71,Professional,€ 15M,€ 7M,€ 344K pw,€ 18K pw,80,65,80,55,68,66
Club Brugge,https://fminside.net/clubs/1-fm-21/186-club-brugge,Bruges,1891,Belgium,Jupiler Pro League,70,Professional,€ 39M,€ 15M,€ 604K pw,€ 138K pw,100,100,85,80,69,72
Werder Bremen,https://fminside.net/clubs/1-fm-21/948-werder-bremen,Bremen,1899,Germany,Bundesliga,70,Professional,€ 13M,€ 2M,€ 693K pw,€ 32K pw,85,70,60,60,70,70
FC Augsburg,https://fminside.net/clubs/1-fm-21/2238-fc-augsburg,Augsburg,1907,Germany,Bundesliga,70,Professional,€ 13M,€ 1000K,€ 516K pw,€ 44K pw,75,65,40,60,70,70
Hamburger SV,https://fminside.net/clubs/1-fm-21/947-hamburger-sv,Hamburg,1887,Germany,2. Bundesliga,70,Professional,€ 38M,€ 3M,€ 380K pw,€ 30K pw,80,70,55,60,67,68
Feyenoord,https://fminside.net/clubs/1-fm-21/1013-feyenoord,Rotterdam,1908,Netherlands,Eredivisie,70,Professional,€ 76M,€ 10M,€ 226K pw,€ 11K pw,85,85,85,85,70,71
Sporting CP,https://fminside.net/clubs/1-fm-21/1489-sporting-cp,Lisbon,1906,Portugal,Liga NOS,70,Professional,€ -2M,0,€ 442K pw,€ 26K pw,100,95,95,90,72,78
Getafe,https://fminside.net/clubs/1-fm-21/1710-getafe,Getafe,1983,Spain,LaLiga,70,Professional,€ 6M,€ 5M,€ 422K pw,€ 17K pw,60,60,55,55,72,69
Real Betis,https://fminside.net/clubs/1-fm-21/1733-real-betis,Sevilla,1907,Spain,LaLiga,70,Professional,€ 27M,€ 3M,€ 778K pw,€ 39K pw,70,70,75,70,75,70
Pumas de la UNAM,https://fminside.net/clubs/1-fm-21/1260-pumas-de-la-unam,Mexico City,1954,Mexico,Liga MX,70,Professional,€ 12M,€ 3M,€ 147K pw,€ 9K pw,80,75,85,65,64,65
OGC Nice,https://fminside.net/clubs/1-fm-21/862-ogc-nice,Nice,1904,France,Ligue 1,70,Professional,€ 36M,€ 15M,€ 571K pw,€ 27K pw,80,85,70,65,71,75
Olympiakos,https://fminside.net/clubs/1-fm-21/981-olympiakos,Piraeus,1925,Greece,Super League 1,70,Professional,€ 22M,€ 3M,€ 542K pw,€ 42K pw,75,80,95,70,70,70
Tigres UANL,https://fminside.net/clubs/1-fm-21/104360-tigres-uanl,Monterrey,1960,Mexico,Liga MX,70,Professional,€ 28M,€ 13M,€ 408K pw,€ 19K pw,70,60,70,50,71,64
Red Bull Salzburg,https://fminside.net/clubs/1-fm-21/158-red-bull-salzburg,Salzburg,2005,Austria,Tipico Bundesliga,70,Professional,€ 61M,€ 20M,€ 339K pw,€ 23K pw,95,95,100,80,69,75
RSC Anderlecht,https://fminside.net/clubs/1-fm-21/256-rsc-anderlecht,Brussels,1908,Belgium,Jupiler Pro League,69,Professional,€ 35M,€ 4M,€ 567K pw,€ 51K pw,95,85,95,90,67,74
Everton,https://fminside.net/clubs/1-fm-21/650-everton,Liverpool,1878,England,Premier League,69,Professional,€ 60M,€ 3M,€ 3M pw,€ 191K pw,90,90,85,70,76,77
Hannover 96,https://fminside.net/clubs/1-fm-21/927-hannover-96,Hannover,1896,Germany,2. Bundesliga,69,Professional,€ 35M,€ 1M,€ 219K pw,€ 29K pw,75,65,50,55,65,64
AZ,https://fminside.net/clubs/1-fm-21/991-az,Alkmaar,1954,Netherlands,Eredivisie,69,Professional,€ 27M,€ 7M,€ 149K pw,€ 7K pw,90,90,90,85,70,75
Torino,https://fminside.net/clubs/1-fm-21/1174-torino,Turin,1906,Italy,Serie A,69,Professional,€ 14M,€ 6M,€ 1M pw,€ 49K pw,75,70,75,70,73,73
Fenerbahçe,https://fminside.net/clubs/1-fm-21/1870-fenerbahce,İstanbul,1907,Turkey,Turkish SüperLig,69,Professional,€ 45M,€ 13M,€ 960K pw,€ 45K pw,70,65,30,60,70,70
Celtic,https://fminside.net/clubs/1-fm-21/1569-celtic,Glasgow,1888,Scotland,Premiership,69,Professional,€ 79M,€ 5M,€ 536K pw,€ 62K pw,85,70,100,70,72,73
Spartak Moscow,https://fminside.net/clubs/1-fm-21/1529-spartak-moscow,Moscow,1922,Russia,Russian Premier League,69,Professional,€ 61M,€ 10M,€ 751K pw,€ 75K pw,75,85,85,60,66,70
CF Monterrey,https://fminside.net/clubs/1-fm-21/1257-cf-monterrey,Monterrey,1945,Mexico,Liga MX,69,Professional,€ 23M,€ 11M,€ 321K pw,€ 15K pw,65,60,65,60,70,68
Vasco da Gama,https://fminside.net/clubs/1-fm-21/339-vasco-da-gama,Rio de Janeiro (RJ),1898,Brazil,Brazilian Série A,69,Professional,€ -466.8K,0,€ 198K pw,€ 9K pw,65,55,80,55,68,71
Wolves,https://fminside.net/clubs/1-fm-21/740-wolves,Wolverhampton,1877,England,Premier League,68,Professional,€ 12M,€ 19M,€ 1M pw,€ 194K pw,85,85,70,60,76,77
AS Saint-Étienne,https://fminside.net/clubs/1-fm-21/828-as-saint-etienne,Saint-Etienne,1919,France,Ligue 1,68,Professional,€ 14M,€ 8M,€ 440K pw,€ 21K pw,80,75,75,75,67,72
Bordeaux,https://fminside.net/clubs/1-fm-21/851-bordeaux,Bordeaux,1881,France,Ligue 1,68,Professional,€ 28M,€ 5M,€ 536K pw,€ 25K pw,75,80,65,65,70,71
SC Freiburg,https://fminside.net/clubs/1-fm-21/944-sc-freiburg,Freiburg,1904,Germany,Bundesliga,68,Professional,€ 6M,€ 600K,€ 294K pw,€ 20K pw,75,70,60,60,69,71
Rangers,https://fminside.net/clubs/1-fm-21/1570-rangers,Glasgow,1872,Scotland,Premiership,68,Professional,€ 13M,€ 3M,€ 509K pw,€ 47K pw,85,75,100,70,71,72
FC København,https://fminside.net/clubs/1-fm-21/505-fc-kbenhavn,Copenhagen,1992,Denmark,3F Superliga,68,Professional,€ 35M,€ 6M,€ 306K pw,€ 34K pw,75,65,70,80,67,67
Sampdoria,https://fminside.net/clubs/1-fm-21/1167-sampdoria,Genoa,1946,Italy,Serie A,68,Professional,€ 14M,€ 6M,€ 724K pw,€ 44K pw,90,65,65,65,71,71
CA Osasuna,https://fminside.net/clubs/1-fm-21/1685-ca-osasuna,Pamplona,1920,Spain,LaLiga,68,Professional,€ 7M,0,€ 356K pw,€ 28K pw,75,75,75,65,72,69
Alavés,https://fminside.net/clubs/1-fm-21/1688-alaves,Vitoria,1921,Spain,LaLiga,68,Professional,€ 10M,€ 7M,€ 374K pw,€ 33K pw,60,60,60,60,69,62
Levante,https://fminside.net/clubs/1-fm-21/1717-levante,Valencia,1909,Spain,LaLiga,68,Professional,€ 12M,€ 3M,€ 414K pw,€ 38K pw,75,75,65,60,73,71
Celta Vigo,https://fminside.net/clubs/1-fm-21/1724-celta-vigo,Vigo,1923,Spain,LaLiga,68,Professional,€ 39M,€ 9M,€ 521K pw,€ 22K pw,80,80,70,60,74,76
Real Valladolid,https://fminside.net/clubs/1-fm-21/1747-real-valladolid,Valladolid,1928,Spain,LaLiga,68,Professional,€ 4M,0,€ 310K pw,€ 27K pw,70,70,60,60,69,71
SD Eibar,https://fminside.net/clubs/1-fm-21/1753-sd-eibar,Eibar,1940,Spain,LaLiga,68,Professional,€ 7M,€ 500K,€ 367K pw,€ 21K pw,55,55,50,60,70,63
RCD Espanyol,https://fminside.net/clubs/1-fm-21/1725-rcd-espanyol,Barcelona,1900,Spain,LaLiga 2,68,Professional,€ 27M,€ 5M,€ 452K pw,€ 47K pw,90,90,60,75,71,73
Botafogo,https://fminside.net/clubs/1-fm-21/316-botafogo,Rio de Janeiro (RJ),1904,Brazil,Brazilian Série A,68,Professional,€ -5M,€ 1M,€ 130K pw,€ 13K pw,65,55,65,60,67,67
CF Pachuca,https://fminside.net/clubs/1-fm-21/116204-cf-pachuca,Pachuca,1901,Mexico,Liga MX,68,Professional,€ 13M,€ 7M,€ 215K pw,€ 10K pw,95,90,85,75,66,67
Racing Club,https://fminside.net/clubs/1-fm-21/93-racing-club,Avellaneda (BA),1903,Argentina,Superliga Argentina,68,Professional,€ 4M,€ 850K,€ 191K pw,€ 9K pw,75,65,80,65,68,69
Sassuolo,https://fminside.net/clubs/1-fm-21/3800256-sassuolo,Sassuolo,1920,Italy,Serie A,67,,€ 18M,€ 11M,€ 803K pw,€ 64K pw,55,65,65,60,73,78
Independiente,https://fminside.net/clubs/1-fm-21/89-independiente,Avellaneda (BA),1905,Argentina,Superliga Argentina,67,Professional,€ 2M,0,€ 189K pw,€ 20K pw,75,70,80,55,68,70
San Lorenzo,https://fminside.net/clubs/1-fm-21/96-san-lorenzo,Ciudad de Buenos Aires,1908,Argentina,Superliga Argentina,67,Professional,€ 797K,€ 1K,€ 246K pw,€ 69K pw,70,65,80,60,68,69
Fluminense,https://fminside.net/clubs/1-fm-21/323-fluminense,Rio de Janeiro (RJ),1902,Brazil,Brazilian Série A,67,Professional,€ -199.2K,0,€ 189K pw,€ 9K pw,65,60,90,60,68,69
PAOK,https://fminside.net/clubs/1-fm-21/982-paok,Salonika,1926,Greece,Super League 1,67,Professional,€ 7M,€ 2M,€ 351K pw,€ 29K pw,70,75,100,75,67,69
Genoa,https://fminside.net/clubs/1-fm-21/1132-genoa,Genoa,1893,Italy,Serie A,67,Professional,€ 12M,€ 5M,€ 922K pw,€ 71K pw,80,75,65,70,71,67
AEK,https://fminside.net/clubs/1-fm-21/967-aek,Athens,1924,Greece,Super League 1,67,Professional,€ 6M,€ 800K,€ 267K pw,€ 29K pw,65,60,65,60,67,65
Slavia Prague,https://fminside.net/clubs/1-fm-21/474-slavia-prague,Prague,1892,Czech Republic,Fortuna liga,67,Professional,€ 18M,€ 9M,€ 210K pw,€ 98K pw,85,80,80,85,66,60
Deportivo Toluca,https://fminside.net/clubs/1-fm-21/102355-deportivo-toluca,Toluca,1917,Mexico,Liga MX,67,Professional,€ 13M,€ 6M,€ 166K pw,€ 8K pw,60,55,65,55,62,62
Union Berlin,https://fminside.net/clubs/1-fm-21/121182-union-berlin,Berlin,1966,Germany,Bundesliga,66,Professional,€ 12M,€ 1000K,€ 391K pw,€ 26K pw,65,55,40,40,67,69
FC Utrecht,https://fminside.net/clubs/1-fm-21/1010-fc-utrecht,Utrecht,1970,Netherlands,Eredivisie,66,Professional,€ 25M,€ 3M,€ 147K pw,€ 7K pw,75,75,75,75,67,71
LA Galaxy,https://fminside.net/clubs/1-fm-21/1907-la-galaxy,Carson (CA),1996,United States,MLS,66,Professional,€ 46M,€ 8M,€ 282K pw,€ 17K pw,100,90,100,60,67,62
SC Braga,https://fminside.net/clubs/1-fm-21/1488-sc-braga,Braga,1921,Portugal,Liga NOS,66,Professional,€ 8M,€ 3M,€ 251K pw,€ 32K pw,90,85,80,85,72,73
Dinamo Zagreb,https://fminside.net/clubs/1-fm-21/432-dinamo-zagreb,Zagreb,1911,Croatia,HT Prva liga,66,Professional,€ 13M,€ 4M,€ 265K pw,€ 18K pw,70,70,100,85,70,73
Rostov,https://fminside.net/clubs/1-fm-21/1301104-rostov,Rostov-na-Donu,1930,Russia,Russian Premier League,66,,€ 2M,€ 700K,€ 272K pw,€ 13K pw,55,40,50,35,63,66
Viktoria Plzeň,https://fminside.net/clubs/1-fm-21/477-viktoria-plze,Plzen,1911,Czech Republic,Fortuna liga,66,Professional,€ 24M,€ 2M,€ 167K pw,€ 78K pw,75,75,80,75,65,62
Newcastle,https://fminside.net/clubs/1-fm-21/688-newcastle,Newcastle,1892,England,Premier League,66,Professional,€ 78M,€ 18M,€ 2M pw,€ 134K pw,55,50,60,60,72,71
Southampton,https://fminside.net/clubs/1-fm-21/713-southampton,Southampton,1885,England,Premier League,66,Professional,€ 29M,€ 2M,€ 1M pw,€ 119K pw,95,90,85,80,73,74
Montpellier HSC,https://fminside.net/clubs/1-fm-21/859-montpellier-hsc,Montpellier,1919,France,Ligue 1,66,Professional,€ 29M,€ 5M,€ 359K pw,€ 17K pw,70,75,65,60,69,67
Bologna,https://fminside.net/clubs/1-fm-21/1111-bologna,Bologna,1909,Italy,Serie A,66,Professional,€ 15M,€ 8M,€ 841K pw,€ 72K pw,80,70,75,60,71,75
Cagliari,https://fminside.net/clubs/1-fm-21/1114-cagliari,Cagliari,1920,Italy,Serie A,66,Professional,€ 13M,€ 7M,€ 941K pw,€ 74K pw,70,65,60,65,72,74
Parma,https://fminside.net/clubs/1-fm-21/1156-parma,Parma,1913,Italy,Serie A,66,Professional,€ 14M,€ 9M,€ 761K pw,€ 76K pw,80,55,55,60,72,71
Trabzonspor,https://fminside.net/clubs/1-fm-21/1879-trabzonspor,Trabzon,1967,Turkey,Turkish SüperLig,66,Professional,€ 10M,€ 4M,€ 400K pw,€ 19K pw,70,50,15,70,69,70
LASK Linz,https://fminside.net/clubs/1-fm-21/154-lask-linz,Linz,1908,Austria,Tipico Bundesliga,66,Professional,€ 15M,€ 1M,€ 133K pw,€ 5K pw,60,60,75,70,65,65
KAA Gent,https://fminside.net/clubs/1-fm-21/168-kaa-gent,Ghent,1900,Belgium,Jupiler Pro League,65,Professional,€ 20M,€ 5M,€ 489K pw,€ 75K pw,85,75,70,70,65,69
Standard Liège,https://fminside.net/clubs/1-fm-21/250-standard-liege,Liège,1898,Belgium,Jupiler Pro League,65,Professional,€ 15M,€ 2M,€ 402K pw,€ 67K pw,85,95,85,85,67,71
KRC Genk,https://fminside.net/clubs/1-fm-21/258-krc-genk,Genk,1923,Belgium,Jupiler Pro League,65,Professional,€ 34M,€ 20M,€ 379K pw,€ 42K pw,90,95,95,90,66,74
